Manuscript Identifier	COI	Funding
PONE-D-15-12572	The authors have declared that no competing interests exist.	"Work was supported by a grant from the Commonwealth of Pennsylvania, 2013 Health Research Formula Fund (#4100062223). Dr. Kelly was supported by a visiting scholar travel-research grant from Cancer Research UK: C48264/A16614. ZL was supported by a visiting PhD student grant (program of China Scholarship Council) from the Science and Technology Commission of Shanghai (12JC1402102). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12584	"The authors have submitted a US patent application #20140323576 A1 (YA, MS, AJH, and SZS): Method for treating glioblastomas and other tumors. This application, however, does not alter the authors’ adherence to all the PLOS ONE policies on sharing data and materials."	"This study was supported by The Elmezzi Foundation (AJH) (elmezzi.org) and The Feinstein Institute for Medical Research (www.FeinsteinInstitute.org). The sponsors had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12591	The authors have declared that no competing interests exist.	Funding was provided to AG by the Swiss Centre for Applied Human Toxicology (SCAHT) in the core project 2 'Environmentally-­�induced epigenetic changes and male infertility' and by the Federal Office for Public Health (FOPH).
PONE-D-15-12615	The authors have declared that no competing interests exist.	"Funding was provided by NIH/NIAID U01 AI075526 and the Bill & Melinda Gates Foundation APP16340. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12643	Peter T. Beernink is an inventor on patents or patent applications in the area of meningococcal serogroup B vaccines. 	"This work was supported by Public Health Service grant R01 AI 099125 (to P.T.B.) from the National Institute of Allergy and Infectious Diseases, NIH. The laboratory work at Children’s Hospital Oakland Research Institute was performed in a facility funded by Research Facilities Improvement Program grant C06 RR 016226 from the National Center for Research Resources, NIH. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12662	The authors have declared that no competing interests exist.	"This work was supported by National Eye Institute, 1R01EY024261-01 to HJ, Boettcher Foundation Webb-Waring Biomedical Research Award to HJ, Linda Crnik Institute sponsored Dean's research grant to VJ, Gordon Stone Fellowship to VJ, and National Eye Institute R01EY020849 to MX. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12708	All authors are employees of Pfizer Inc. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials.	"Pfizer Inc. provided support in the form of salaries for authors M.D., P.S., J.A.M.-W., A.H.-M., S.E.F., M.G.C., K.D., V.L., K.P., J.S., G.B., D.Z., L.M., R.D., T.- T.T., S.-H.L., M.R., D.F., D.L.S., J.P., and A.R., but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions’ section."
PONE-D-15-12715	The authors have declared that no competing interests exist.  	"This work was supported by grant number no. 31201808, http://www.nsfc.gov.cn/, full name 'National Natural Science Foundation of China', received by Tian Wang. The funder supported and paid for  the study design, animal experiment, lab experiment and publishing."
PONE-D-15-12717	The authors have declared that no competing interests exist.	This work was funded by National Natural Science Foundation of China (Grant No. 30871283 and 81171944).
PONE-D-15-12729	The authors have declared that no competing interests exist.	"This work was supported by grants from the Ministry of Science and Technology, Taiwan (NSC 102-2314-B-037-014-MY2, MOST 103-2221-E-037-004 and MOST 104-2622-E-037-001); Center for Stem Cell Research, Kaohsiung Medical University (KMU-TP103G00 and KMU-TP103G02-05); and Kaohsiung Medical University Hospital (KMU-Q103002, KMUH103-3R22, KMUH103-3T04).  The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. "
PONE-D-15-12751	The authors have declared that no competing interests exist.	"This study was funded through a grant of the Institute of Genetic Metabolic Diseases of the Radboud university medical center Nijmegen. This work was supported by grants from the Netherlands Organization for Scientific Research (ZonMw 9120.8026, NWO ALW 818.02.001, VICI 016.130.668, Rubicon 825.14.021), the Dutch Kidney Foundation (Kolff 14OKG17), and the EURenOmics project from the European Union seventh Framework Programme (FP7/2007–2013, agreement no. 305608). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12766	The authors have declared that no competing interests exist.	The authors received no specific funding for this work.
PONE-D-15-12796	The authors have declared that no competing interests exist. 	The authors have no support or funding to report.
PONE-D-15-12798	The authors have declared that no competing interests exist.	"This work was supported by the Agence Nationale de la Recherche (http://www.agence-nationale-recherche.fr/), grant #ANR-11-BSV4-0013, to MAE, OJM and IB. MAE's thesis is funded by Amidex (http://amidex.univ-amu.fr/) under the ICN PhD program. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12800	The authors have declared that no competing interests exist.	"DMA acknowledges the University of Missouri Research Board for partial funding of this work. MMM acknowledges funding for this work by the Office of the Vice Provost of Research at Indiana University-Bloomington through the Faculty Research Support Program and by the grant R21AI101242 from the United States Public Health Service (NIAID; www.niaid.nih.gov). Fly stocks used in this study were obtained from the Bloomington Drosophila Stock Center, which is supported through grant P40OD018537 from the United States Public Health Service (NIAID; www.niaid.nih.gov). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-12818	The authors have declared that no competing interests exist.	"This work was supported by Center for Women Researchers (http://www.cwr.kyoto-u.ac.jp/index.php), Kyoto University and by Japan Society for the Promotion of Science (http://www.jsps.go.jp/) Grant-in-Aid for Scientific Research number 20590896. II received the funding. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
